"adm1_name","year","avg_food_price_index"
Kayah,2017,0.89850000000000000000
Mandalay,2017,0.97083333333333333333
Kayin,2017,0.89888888888888888889
Sagaing,2017,1.0965740740740741
Yangon,2017,0.90572916666666666667
Tanintharyi,2017,0.91527777777777777778
Kachin,2017,1.0482882882882883
Shan (South),2017,0.89724358974358974359
Mon,2017,0.88725000000000000000
Chin,2017,1.1085833333333333
Market Average,2017,0.99250000000000000000
Tanintharyi,2018,0.95564814814814814815
Yangon,2018,0.90578125000000000000
Shan (North),2018,1.2357608695652174
Shan (South),2018,0.95410256410256410256
Mon,2018,0.91841666666666666667
Mandalay,2018,0.96854166666666666667
Kayin,2018,0.93833333333333333333
Market Average,2018,1.03000000000000000000
Kachin,2018,1.0615315315315315
Rakhine,2018,0.87209876543209876543
Magway,2018,1.0155952380952381
Chin,2018,1.1458333333333333
Sagaing,2018,1.1408333333333333
Kayah,2018,0.96700000000000000000
Shan (East),2018,1.3808333333333333
Magway,2019,1.0285119047619048
Kachin,2019,1.0738738738738739
Chin,2019,1.1563750000000000
Sagaing,2019,1.1258333333333333
Tanintharyi,2019,0.94861111111111111111
Market Average,2019,1.02416666666666666667
Rakhine,2019,0.87510802469135802469
Kayah,2019,0.96433333333333333333
Shan (North),2019,1.2005072463768116
Shan (South),2019,0.94955128205128205128
Kayin,2019,0.92944444444444444444
Yangon,2019,0.89619791666666666667
Mandalay,2019,0.97604166666666666667
Shan (East),2019,1.3554166666666667
Mon,2019,0.91183333333333333333
Tanintharyi,2020,0.89064814814814814815
Kayah,2020,0.99416666666666666667
Magway,2020,0.96797619047619047619
Kachin,2020,1.0584459459459459
Chin,2020,1.1601250000000000
Kayin,2020,0.88263888888888888889
Shan (North),2020,1.2708695652173913
Mandalay,2020,0.92895833333333333333
Sagaing,2020,1.1862962962962963
Shan (East),2020,1.4658333333333333
Yangon,2020,0.85437500000000000000
Shan (South),2020,0.95923076923076923077
Rakhine,2020,0.88100308641975308642
Market Average,2020,1.02583333333333333333
Mon,2020,0.85625000000000000000
Mandalay,2021,1.1804166666666667
Tanintharyi,2021,1.1450000000000000
Market Average,2021,1.3233333333333333
Shan (South),2021,1.1892307692307692
Shan (East),2021,2.1233333333333333
Shan (North),2021,1.7005797101449275
Kachin,2021,1.3618243243243243
Rakhine,2021,1.1213888888888889
Mon,2021,1.0970000000000000
Kayah,2021,1.2488333333333333
Chin,2021,1.3348333333333333
Magway,2021,1.1930952380952381
Yangon,2021,1.1113541666666667
Kayin,2021,1.1470833333333333
Sagaing,2021,1.4798148148148148
Shan (South),2022,1.9687179487179487
Kayin,2022,1.7983333333333333
Tanintharyi,2022,1.8687037037037037
Kayah,2022,1.9711666666666667
Kachin,2022,2.2408108108108108
Yangon,2022,1.9128645833333333
Market Average,2022,2.0883333333333333
Chin,2022,1.9820416666666667
Sagaing,2022,2.3462037037037037
Magway,2022,1.8786904761904762
Rakhine,2022,1.9357253086419753
Mandalay,2022,1.9283333333333333
Mon,2022,1.8407500000000000
Shan (East),2022,2.4725000000000000
Shan (North),2022,2.3954528985507246
Chin,2023,3.0119583333333333
Kayin,2023,2.3881944444444444
Kachin,2023,3.4050900900900901
Rakhine,2023,2.5545833333333333
Market Average,2023,2.8783333333333333
Kayah,2023,2.5136666666666667
Shan (North),2023,3.3350181159420290
Shan (East),2023,3.3875000000000000
Sagaing,2023,3.2870370370370370
Mandalay,2023,2.6010416666666667
Magway,2023,2.5720238095238095
Tanintharyi,2023,2.3981481481481481
Yangon,2023,2.2774479166666667
Shan (South),2023,2.6238461538461538
Mon,2023,2.3656666666666667
Kachin,2024,5.2559009009009009
Yangon,2024,2.9162500000000000
Mandalay,2024,3.2100000000000000
Shan (North),2024,5.3993297101449275
Kayah,2024,3.7765000000000000
Sagaing,2024,4.6962962962962963
Shan (East),2024,4.9516666666666667
Magway,2024,3.5329166666666667
Rakhine,2024,5.8013888888888889
Shan (South),2024,3.4330769230769231
Chin,2024,4.7475416666666667
Market Average,2024,4.7408333333333333
Mon,2024,3.3725833333333333
Kayin,2024,3.5173611111111111
Tanintharyi,2024,3.2095370370370370
Shan (East),2025,5.4868750000000000
Chin,2025,6.1711250000000000
Mandalay,2025,3.5962500000000000
Yangon,2025,3.4839843750000000
Tanintharyi,2025,3.6688888888888889
Kayah,2025,4.0807500000000000
Shan (South),2025,3.8546153846153846
Mon,2025,3.6362500000000000
Kachin,2025,7.0375000000000000
Magway,2025,4.2299107142857143
Sagaing,2025,6.3231944444444444
Rakhine,2025,5.9351388888888889
Market Average,2025,5.4775000000000000
Kayin,2025,3.6837500000000000
Shan (North),2025,6.3388586956521739
